NdCl3_conc,KCl_conc,NaCl_conc,CaCl2_conc,LaCl3_conc,Bulk_cond
0,0,0,0,0,0.56
1.11,2.22,0,0,0,668.5
2,4,0,0,0,1170.5
4,8,0,0,0,2267.4
6.06,12.12,0,0,0,3357.8
8,16,0,0,0,4377
10,20,0,0,0,5397.1
15.02,30.03,0,0,0,7850.4
20,40,0,0,0,10189
25,50,0,0,0,12531
30.12,60.24,0,0,0,14924
35.21,70.42,0,0,0,17227
40,80,0,0,0,19280
45.05,90.09,0,0,0,21695
50,100,0,0,0,23660
0,0,0,0,0,0.52
2.56,2.56,0,0,0,1156.7
4.17,4.17,0,0,0,1833.8
6.25,6.25,0,0,0,2684
8.33,8.33,0,0,0,3327.4
10,10,0,0,0,4181
20,20,0,0,0,8631.5
30.3,30.3,0,0,0,11513
40,40,0,0,0,14907
50,50,0,0,0,18309
60.24,60.24,0,0,0,21747
70.42,70.42,0,0,0,25064
80,80,0,0,0,28062
90.91,90.91,0,0,0,31598
100,100,0,0,0,34492
0,0,0,0,0,0.55
2.22,1.11,0,0,0,893.61
4,2,0,0,0,1545.9
8,4,0,0,0,2959.1
12.12,6.06,0,0,0,4359.9
16,8,0,0,0,5628.8
20,10,0,0,0,6902.8
30.03,15.02,0,0,0,9814.1
40,20,0,0,0,12706
50,25,0,0,0,15618
60.24,30.12,0,0,0,18535
70.42,35.21,0,0,0,21120
80,40,0,0,0,23899
90.09,45.05,0,0,0,26721
100,50,0,0,0,29405
0,0,0,0,0,0.9
2,0,0,0,0,678.27
4,0,0,0,0,1242.9
6,0,0,0,0,1849.8
8,0,0,0,0,2420.5
10,0,0,0,0,2965.9
20,0,0,0,0,5579.6
30,0,0,0,0,8140.1
40,0,0,0,0,10551
50,0,0,0,0,12797
60,0,0,0,0,15116
70,0,0,0,0,17432
80,0,0,0,0,19684
90,0,0,0,0,21888
100,0,0,0,0,24068
0,0,0,0,0,0.88
0,2,0,0,0,272.04
0,4,0,0,0,530.48
0,6,0,0,0,794.86
0,8,0,0,0,1055.1
0,10,0,0,0,1286.5
0,20,0,0,0,2601.9
0,30,0,0,0,3850.1
0,40,0,0,0,5090.6
0,50,0,0,0,6268.6
0,60,0,0,0,7488.8
0,70,0,0,0,8620.3
0,80,0,0,0,9866.1
0,90,0,0,0,11024
0,100,0,0,0,11944
0,0,0,0,0,4.25
0,0,1,0,0,112.31
0,0,2,0,0,220.46
0,0,3,0,0,321.83
0,0,4,0,0,421.4
0,0,5,0,0,525.06
0,0,10,0,0,1030.1
0,0,20,0,0,2008.1
0,0,30,0,0,2958.3
0,0,40,0,0,3882.1
0,0,50,0,0,4795
0,0,60,0,0,5733.2
0,0,70,0,0,6640.2
0,0,80,0,0,7488.2
0,0,90,0,0,8316.1
0,0,100,0,0,9244
0,0,0,0,0,3.58
0,0,0,1,0,213.19
0,0,0,2,0,460.66
0,0,0,3,0,635.62
0,0,0,4,0,817.65
0,0,0,5,0,1022.3
0,0,0,10,0,1962.8
0,0,0,20,0,3763.7
0,0,0,30,0,5430.7
0,0,0,40,0,6950.5
0,0,0,50,0,8634.8
0,0,0,60,0,10170
0,0,0,70,0,11694
0,0,0,80,0,13409
0,0,0,90,0,14813
0,0,0,100,0,16310
0,0,5,5,0,1598.9
0,0,10,10,0,2938.9
0,0,15,15,0,4334.4
0,0,20,20,0,5638.5
0,0,25,25,0,6875.1
0,0,30,30,0,8179.4
0,0,35,35,0,9365.9
0,0,40,40,0,10611
0,0,45,45,0,11774
0,0,50,50,0,12940
0,0,2.5,5,0,1346.2
0,0,5,10,0,2546.1
0,0,7.5,15,0,3681.4
0,0,10,20,0,4769.8
0,0,12.5,25,0,5831.7
0,0,15,30,0,6918.5
0,0,17.5,35,0,7944.2
0,0,20,40,0,8972.7
0,0,22.5,45,0,9982
0,0,25,50,0,10970
0,0,5,2.5,0,1069.1
0,0,10,5,0,2061.2
0,0,15,7.5,0,2995.2
0,0,20,10,0,3902.9
0,0,25,12.5,0,4787.8
0,0,30,15,0,5671.5
0,0,35,17.5,0,6536.8
0,0,40,20,0,7394.8
0,0,45,22.5,0,8250.6
0,0,50,25,0,9074.5
0,0,0,0,0,2.51
0,0,0,0,1,346.11
0,0,0,0,2,667.89
0,0,0,0,3,963.44
0,0,0,0,4,1265.8
0,0,0,0,5,1543.2
0,0,0,0,10,2928.3
0,0,0,0,20,5513.9
0,0,0,0,30,7921
0,0,0,0,40,10304
0,0,0,0,50,12537
0,0,0,4,2,1416.5
0,0,0,8,4,2753.8
0,0,0,12,6,3965
0,0,0,16,8,5074.1
0,0,0,20,10,6174.8
0,0,0,24,12,7379.2
0,0,0,28,14,8461.4
0,0,0,32,16,9572.8
0,0,0,36,18,10674
0,0,0,40,20,11536
0,0,0,1,2,856.81
0,0,0,2,4,1650.6
0,0,0,3,6,2375.2
0,0,0,4,8,3060
0,0,0,5,10,3788
0,0,0,6,12,4433.2
0,0,0,7,14,5096.7
0,0,0,8,16,5753.7
0,0,0,9,18,6396.3
0,0,0,10,20,7043.1
0,0,0,2,2,1065.2
0,0,0,4,4,2032.2
0,0,0,6,6,2902.1
0,0,0,8,8,3779.7
0,0,0,10,10,4573.3
0,0,0,12,12,5380.2
0,0,0,14,14,6125.8
0,0,0,16,16,6968.6
