NdCl3_conc,KCl_conc,NaCl_conc,CaCl2_conc,LaCl3_conc,Bulk_cond
0,0,0,18,18,7686.6
0,0,0,20,20,8536.2
0,0,2,0,2,846.19
0,0,4,0,4,1683.1
0,0,6,0,6,2364.9
0,0,8,0,8,3075.7
0,0,10,0,10,3775.3
0,0,12,0,12,4485.8
0,0,14,0,14,5148.5
0,0,16,0,16,5809.4
0,0,18,0,18,6440.9
0,0,20,0,20,7082
0,0,6,0,2,1270
0,0,12,0,4,2381.3
0,0,18,0,6,3461.6
0,0,24,0,8,4507.2
0,0,30,0,10,5528.6
0,0,36,0,12,6562
0,0,42,0,14,7525.2
0,0,48,0,16,8541.2
0,0,54,0,18,9503.8
0,0,60,0,20,10490
0,0,1,0,2,750.12
0,0,2,0,4,1426.4
0,0,3,0,6,2094.9
0,0,4,0,8,2719.3
0,0,5,0,10,3331.4
0,0,6,0,12,3921.5
0,0,7,0,14,4492.5
0,0,8,0,16,5102.8
0,0,9,0,18,5643.3
0,0,10,0,20,6209.3
