CaCl2 conc,LaCl3 conc,Bulk cond,Cal bulk cond
2,2,1065.2,1231.173023
4,4,2032.2,2348.845116
6,6,2902.1,3354.287674
8,8,3779.7,4368.63
10,10,4573.3,5285.883953
12,12,5380.2,6218.510233
14,14,6125.8,7080.285116
16,16,6968.6,8054.405116
18,18,7686.6,8884.279535
20,20,8536.2,9866.25907
4,2,1416.5,1637.210465
8,4,2753.8,3182.880465
12,6,3965,4582.802326
16,8,5074.1,5864.715581
20,10,6174.8,7136.92
24,12,7379.2,8528.982326
28,14,8461.4,9779.804186
32,16,9572.8,11064.37581
36,18,10674,12337.15814
40,20,11536,13333.46977
1,2,856.81,990.3129535
2,4,1650.6,1907.786512
3,6,2375.2,2745.289302
4,8,3060,3536.790698
5,10,3788,4378.223256
6,12,4433.2,5123.954419
7,14,5096.7,5890.836977
8,16,5753.7,6650.206744
9,18,6396.3,7392.932791
10,20,7043.1,8140.513256
